ch,CF,PW,BW,ID,offset,exponent,error,r_squared,sub_id,timestamp,nr_intepolated_channels,nr_dropped_ica,nr_retained_epochs,nr_retained_ica
E1,9.06510188993974,0.2552819241809612,1.7051702947428216,0,-9.09164524447916,0.48977248589156214,0.07685789315668524,0.697728136410883,106,2024-06-26 01:37:51.313872,1,6,81,29
E1,19.8776205634252,0.24492237582377108,3.6329611706310465,0,-9.09164524447916,0.48977248589156214,0.07685789315668524,0.697728136410883,106,2024-06-26 01:37:51.313872,1,6,81,29
E2,9.194458885959762,0.23593597326517646,1.6848208339987314,1,-9.039504959351989,0.6724398540730334,0.07214821046971709,0.8337291537839269,106,2024-06-26 01:37:51.313872,1,6,81,29
E2,19.115000258855076,0.19941321496743036,4.321906732088971,1,-9.039504959351989,0.6724398540730334,0.07214821046971709,0.8337291537839269,106,2024-06-26 01:37:51.313872,1,6,81,29
E3,9.194091370785175,0.23939719934496217,1.5950443685006703,2,-9.241737804961959,0.6033469082674048,0.07270261767926382,0.7974617896746539,106,2024-06-26 01:37:51.313872,1,6,81,29
E3,18.852793325331625,0.20648116526992055,4.726737869757658,2,-9.241737804961959,0.6033469082674048,0.07270261767926382,0.7974617896746539,106,2024-06-26 01:37:51.313872,1,6,81,29
E4,9.165351672390235,0.20966464399656637,1.428902646502894,3,-9.502418334671832,0.5790427208661574,0.07812955287359843,0.7492099542804946,106,2024-06-26 01:37:51.313872,1,6,81,29
E4,18.793407867604312,0.1986521093578304,4.801075149281057,3,-9.502418334671832,0.5790427208661574,0.07812955287359843,0.7492099542804946,106,2024-06-26 01:37:51.313872,1,6,81,29
E5,9.178980800706649,0.1917081009143793,1.401899396189131,4,-9.739506640061096,0.5366949983430942,0.08003618021288197,0.7105534902021257,106,2024-06-26 01:37:51.313872,1,6,81,29
E5,18.714616328399146,0.1808343319154435,4.747253284544439,4,-9.739506640061096,0.5366949983430942,0.08003618021288197,0.7105534902021257,106,2024-06-26 01:37:51.313872,1,6,81,29
E6,9.115495062876171,0.17486525489674243,1.391369248344464,5,-10.01225297483341,0.48875631349540777,0.0808288014631508,0.6635854034871008,106,2024-06-26 01:37:51.313872,1,6,81,29
E6,19.116293965041823,0.15276762374476682,4.396696256818848,5,-10.01225297483341,0.48875631349540777,0.0808288014631508,0.6635854034871008,106,2024-06-26 01:37:51.313872,1,6,81,29
E8,20.463426654870183,0.14205036772142954,2.9667058997638835,7,-10.399583906987342,0.702741731307232,0.04281579598057001,0.9187636543786339,106,2024-06-26 01:37:51.313872,1,6,81,29
E8,39.094352284309494,0.15503225016797728,5.999999999998344,7,-10.399583906987342,0.702741731307232,0.04281579598057001,0.9187636543786339,106,2024-06-26 01:37:51.313872,1,6,81,29
E9,9.397988403300598,0.2153112422504524,1.5926539397632093,8,-10.669219172777975,0.7268342560480673,0.025648951316152826,0.979314444731803,106,2024-06-26 01:37:51.313872,1,6,81,29
E9,20.282277955404584,0.1776918591789265,3.8246951607427664,8,-10.669219172777975,0.7268342560480673,0.025648951316152826,0.979314444731803,106,2024-06-26 01:37:51.313872,1,6,81,29
E10,9.143043585243486,0.19481367801999916,1.6577059920217112,9,-8.859710995516558,0.7657419671226356,0.07740184748617956,0.8465926550035963,106,2024-06-26 01:37:51.313872,1,6,81,29
E10,19.544472830974314,0.1878478484991728,3.7132538892278775,9,-8.859710995516558,0.7657419671226356,0.07740184748617956,0.8465926550035963,106,2024-06-26 01:37:51.313872,1,6,81,29
E11,9.155746664303734,0.19515510975262096,1.4469059674367946,10,-9.036009133053929,0.7241466332100011,0.07381313997376367,0.8353959779320164,106,2024-06-26 01:37:51.313872,1,6,81,29
E11,19.003069244467447,0.1829285557923015,4.51920592971626,10,-9.036009133053929,0.7241466332100011,0.07381313997376367,0.8353959779320164,106,2024-06-26 01:37:51.313872,1,6,81,29
E12,9.076883725428832,0.16965667046121347,1.2825129331626952,11,-9.31759261198036,0.6033334890195434,0.07785391677662389,0.7513824582729423,106,2024-06-26 01:37:51.313872,1,6,81,29
E12,18.403621919863063,0.16772442460088044,5.717743366604519,11,-9.31759261198036,0.6033334890195434,0.07785391677662389,0.7513824582729423,106,2024-06-26 01:37:51.313872,1,6,81,29
E13,9.12744051297268,0.18398931815031894,1.4172537148382525,12,-9.50457349537814,0.6363083431719203,0.08011056450460917,0.7673249799596489,106,2024-06-26 01:37:51.313872,1,6,81,29
E13,19.019399632995093,0.14029793211787123,4.574571246426327,12,-9.50457349537814,0.6363083431719203,0.08011056450460917,0.7673249799596489,106,2024-06-26 01:37:51.313872,1,6,81,29
E14,9.137718819220597,0.19496357820854904,1.466175497478217,13,-9.786664532279387,0.5775885450076778,0.0808584322078097,0.7504724996062442,106,2024-06-26 01:37:51.313872,1,6,81,29
E15,9.117921729960326,0.19637375423448233,1.5427283194557224,14,-10.045094556135682,0.5317744108294032,0.0753475342237203,0.7496336802059281,106,2024-06-26 01:37:51.313872,1,6,81,29
