ch,CF,PW,BW,ID,offset,exponent,error,r_squared,sub_id,timestamp,nr_intepolated_channels,nr_dropped_ica,nr_retained_epochs,nr_retained_ica
E1,10.02845588276048,0.29123130451746704,4.315812250998322,0,-8.741417303422296,1.3515288582263085,0.04256198767939525,0.98383245325627,114,2024-06-26 01:57:22.156050,4,6,108,30
E1,24.47106718722789,0.13594097509365533,4.409337855466499,0,-8.741417303422296,1.3515288582263085,0.04256198767939525,0.98383245325627,114,2024-06-26 01:57:22.156050,4,6,108,30
E2,10.042754649160942,0.30604728723861285,4.386365089527102,1,-9.15372061224844,1.146380828577215,0.04095701965048284,0.9798333276477903,114,2024-06-26 01:57:22.156050,4,6,108,30
E3,10.1557411816337,0.27632998701676037,4.4211552816283906,2,-9.380047192640207,1.0745246584704042,0.036603269389486326,0.9796140381370296,114,2024-06-26 01:57:22.156050,4,6,108,30
E4,10.143567221866187,0.2685531007382842,4.893392831440918,3,-9.441839273807128,1.1364831866455756,0.03197721927103238,0.9861863690807777,114,2024-06-26 01:57:22.156050,4,6,108,30
E5,10.042998925950947,0.2690937926289081,5.143163121635445,4,-9.49415619066637,1.1819581002441688,0.029383399637902898,0.9898476592082004,114,2024-06-26 01:57:22.156050,4,6,108,30
E6,9.984061112313938,0.28922566206439804,4.95368187101312,5,-9.697350120909576,1.2158093841393114,0.030394047010172853,0.9893001778842451,114,2024-06-26 01:57:22.156050,4,6,108,30
E7,9.859115573097766,0.22525447985198,4.317718101881678,6,-9.817786544892039,1.2590440232240916,0.03629161635119052,0.9876301560924539,114,2024-06-26 01:57:22.156050,4,6,108,30
E8,9.69405039863099,0.17640973098896495,3.927749714006729,7,-9.8898347247591,1.2445334642221173,0.03769407188252901,0.9874578378755161,114,2024-06-26 01:57:22.156050,4,6,108,30
E9,10.040973868334342,0.1517693585101263,4.150841243975301,8,-10.00324526430642,1.1529756182949489,0.025694718591942195,0.9926837332858068,114,2024-06-26 01:57:22.156050,4,6,108,30
E10,9.250768435917566,0.21915597077642346,4.277937442809594,9,-9.019794818199374,1.1076206227675058,0.05453316554369829,0.9624939087009609,114,2024-06-26 01:57:22.156050,4,6,108,30
E11,10.059515501181467,0.24940954021090178,4.550485593627869,10,-9.292287264437627,1.15463209990422,0.03873700643613625,0.9810814739266397,114,2024-06-26 01:57:22.156050,4,6,108,30
E12,9.84626089095936,0.20186673250398357,4.098845261632322,11,-9.513975132450794,0.9266791007910032,0.05091944486736811,0.9533888006329748,114,2024-06-26 01:57:22.156050,4,6,108,30
E13,10.191647313919148,0.29216511657223165,4.944101337560353,12,-9.441241341855813,1.2298950610424446,0.03208254770251035,0.9889785006022636,114,2024-06-26 01:57:22.156050,4,6,108,30
E14,10.144021459935376,0.32659788083294927,4.944350586181823,13,-9.65925485526296,1.2346130443906542,0.029265764293438138,0.9910312871878606,114,2024-06-26 01:57:22.156050,4,6,108,30
E15,10.09469511702362,0.3285473089716202,4.754984598647388,14,-9.821967799614798,1.2360144991600368,0.03344309201207734,0.9899379950855782,114,2024-06-26 01:57:22.156050,4,6,108,30
E16,10.227951991677749,0.2813125203820519,3.512473525069364,15,-9.914182387033595,1.2287271450787685,0.03533261787823783,0.9880429416452104,114,2024-06-26 01:57:22.156050,4,6,108,30
E17,9.3289593376438,0.21643299907050206,1.0042426349030147,16,-9.925911628976928,1.1929200946451985,0.028970374467547425,0.9910126288122815,114,2024-06-26 01:57:22.156050,4,6,108,30
E17,10.702682551903171,0.1931230817313221,3.67038361411744,16,-9.925911628976928,1.1929200946451985,0.028970374467547425,0.9910126288122815,114,2024-06-26 01:57:22.156050,4,6,108,30
E18,9.646877706688928,0.2043746775542008,4.1050181731925965,17,-9.195131931332483,1.2014966745954971,0.042314893398173084,0.9795322146539355,114,2024-06-26 01:57:22.156050,4,6,108,30
E18,39.029745196560086,0.1848074926744836,5.999999999999183,17,-9.195131931332483,1.2014966745954971,0.042314893398173084,0.9795322146539355,114,2024-06-26 01:57:22.156050,4,6,108,30
E19,9.855548131762337,0.23804178072166415,4.61168502741007,18,-9.202512369908874,1.2132756880603672,0.051441901410076527,0.9725067110654951,114,2024-06-26 01:57:22.156050,4,6,108,30
E20,9.940011995558692,0.27172935849045743,4.7071152256959925,19,-9.3053797349335,1.2162599829129788,0.05194808101452268,0.9760489864883285,114,2024-06-26 01:57:22.156050,4,6,108,30
E21,10.254562455797789,0.3690683690180876,4.795065115434829,20,-9.441336771346865,1.3287666326818262,0.03229523768644276,0.9917542258968445,114,2024-06-26 01:57:22.156050,4,6,108,30
E22,10.243101973310555,0.4293153715331659,4.590296598348689,21,-9.780036424732472,1.271379127970651,0.035456930057006154,0.990352957442548,114,2024-06-26 01:57:22.156050,4,6,108,30
E23,10.089863485414032,0.3766878950997654,3.4861831531640823,22,-9.848353697709362,1.2288642632802147,0.043593879449686505,0.9816524560316273,114,2024-06-26 01:57:22.156050,4,6,108,30
E24,10.402177748700575,0.3225500460322941,3.547404279315688,23,-9.77841674143257,1.2174562791961934,0.03138251345775711,0.9896403008143263,114,2024-06-26 01:57:22.156050,4,6,108,30
E25,8.151969213418441,0.1772128305121239,5.999999999974944,24,-9.104741651896829,1.070044717406254,0.05341179010506264,0.9614461514453896,114,2024-06-26 01:57:22.156050,4,6,108,30
E26,9.42243687919623,0.2331414107419718,4.389849415645135,25,-9.109657217656627,1.222609569113721,0.05258053036970257,0.9714183282113584,114,2024-06-26 01:57:22.156050,4,6,108,30
E27,9.850147074550925,0.32983014979063086,4.43558384951601,26,-9.250847131295604,1.301180973966984,0.04267724710915256,0.9850573323478077,114,2024-06-26 01:57:22.156050,4,6,108,30
E28,10.27867438724003,0.4490934085565641,4.864971839684328,27,-9.535655510835577,1.3682850416154861,0.03557731628163654,0.9917833462583665,114,2024-06-26 01:57:22.156050,4,6,108,30
E29,10.030992452729297,0.4526845499103249,4.1903008342333425,28,-9.690150339386234,1.3311163368169125,0.025859894231495408,0.9947260999191834,114,2024-06-26 01:57:22.156050,4,6,108,30
E29,38.12473405831212,0.16410920426248943,5.999999999999664,28,-9.690150339386234,1.3311163368169125,0.025859894231495408,0.9947260999191834,114,2024-06-26 01:57:22.156050,4,6,108,30
E30,9.50809240814473,0.320986393677714,2.931532339936494,29,-9.720462850546008,1.0836369190775443,0.047301410186981155,0.9685911287110668,114,2024-06-26 01:57:22.156050,4,6,108,30
E31,7.632772552151646,0.1901438045777759,5.999999999999999,30,-8.939274452147076,1.1362812341266388,0.053056844574720576,0.9678263993150817,114,2024-06-26 01:57:22.156050,4,6,108,30
E31,37.661753056733055,0.21519895235308795,5.999999999999999,30,-8.939274452147076,1.1362812341266388,0.053056844574720576,0.9678263993150817,114,2024-06-26 01:57:22.156050,4,6,108,30
E32,8.88263961526334,0.21284152804397216,4.584584334895654,31,-8.90718206919261,1.242748394320665,0.04349619228236204,0.9797062148173245,114,2024-06-26 01:57:22.156050,4,6,108,30
E32,37.922239359249055,0.20180633330980946,5.999999999999999,31,-8.90718206919261,1.242748394320665,0.04349619228236204,0.9797062148173245,114,2024-06-26 01:57:22.156050,4,6,108,30
E33,8.683145916150592,0.30294515164212754,2.6113625603376422,32,-9.18483842050972,1.2140456573501914,0.0542434195903562,0.9723716175985628,114,2024-06-26 01:57:22.156050,4,6,108,30
E33,11.564886498842617,0.2141667438335304,2.313862237166627,32,-9.18483842050972,1.2140456573501914,0.0542434195903562,0.9723716175985628,114,2024-06-26 01:57:22.156050,4,6,108,30
E34,9.997164880835326,0.4233836256727841,4.314353089223193,33,-9.356821547489467,1.2998033540246061,0.048158066282848244,0.9823567725933131,114,2024-06-26 01:57:22.156050,4,6,108,30
E35,8.388383355763917,0.3701852615101071,1.9715020673926222,34,-9.576066517324628,1.114368607538828,0.05886174765949158,0.9650396204477232,114,2024-06-26 01:57:22.156050,4,6,108,30
E35,10.64960769556387,0.3172791690449994,3.3654246830017254,34,-9.576066517324628,1.114368607538828,0.05886174765949158,0.9650396204477232,114,2024-06-26 01:57:22.156050,4,6,108,30
E36,9.396709190319168,0.3561397297929325,3.130821669277036,35,-9.630860305235307,1.1162823668117163,0.05045114569040472,0.9688315444812855,114,2024-06-26 01:57:22.156050,4,6,108,30
E37,9.376190061423108,0.3191059379374561,3.280213873479253,36,-9.022083259491552,1.1123606193010191,0.049648638109045996,0.9713727802284862,114,2024-06-26 01:57:22.156050,4,6,108,30
E38,8.377395546870824,0.3871845793774167,1.92087749746939,37,-9.067966178161395,1.2765299426713697,0.04515694170975318,0.9815306403698936,114,2024-06-26 01:57:22.156050,4,6,108,30
E38,10.691245593750867,0.29678271274742407,3.329374324731827,37,-9.067966178161395,1.2765299426713697,0.04515694170975318,0.9815306403698936,114,2024-06-26 01:57:22.156050,4,6,108,30
E39,9.410351137547712,0.3762900934998097,3.4890036600432976,38,-9.128185123224595,1.2450082248228884,0.05813825495991641,0.9724525954664882,114,2024-06-26 01:57:22.156050,4,6,108,30
E40,8.920957126161248,0.2978973307683095,3.2266241274329865,39,-9.386259739607478,0.9485250812921533,0.07528286482052624,0.9170749643713728,114,2024-06-26 01:57:22.156050,4,6,108,30
E41,9.186819579298845,0.2940660196422371,2.998683714835441,40,-9.377234512349228,1.0844304916455,0.049682139364103456,0.9654785832848095,114,2024-06-26 01:57:22.156050,4,6,108,30
E42,9.664023492775252,0.29742318845840643,3.308324681135964,41,-9.426343679700278,1.1319610362889099,0.04276212492849206,0.9769697645834259,114,2024-06-26 01:57:22.156050,4,6,108,30
E43,10.074178027504384,0.331423509121505,3.7369770017114567,42,-9.50827456995744,1.287348585497638,0.023513935113106503,0.9938120405358339,114,2024-06-26 01:57:22.156050,4,6,108,30
E43,13.05342372847253,0.20941909218538868,5.188754187813218,42,-9.50827456995744,1.287348585497638,0.023513935113106503,0.9938120405358339,114,2024-06-26 01:57:22.156050,4,6,108,30
E44,10.606746666137274,0.2327065880165069,4.056356740634091,43,-9.878820627529432,1.2235548798076155,0.025206375360820488,0.9928629436424974,114,2024-06-26 01:57:22.156050,4,6,108,30
E45,10.333361308653828,0.22845757134866673,5.225630795532776,44,-9.932189826755415,1.1491682040210012,0.022721457213301478,0.9945062001095448,114,2024-06-26 01:57:22.156050,4,6,108,30
E46,9.413133444577822,0.3714282137182927,3.563420171373963,45,-8.673631393955178,1.3311300373329156,0.04984762558461481,0.9813433776311102,114,2024-06-26 01:57:22.156050,4,6,108,30
E47,9.338313026602023,0.37478358389271804,3.5017571322967673,46,-8.727555468326917,1.369076673904195,0.04955533140918745,0.9819188416635269,114,2024-06-26 01:57:22.156050,4,6,108,30
E48,9.149910845403623,0.3459669915842305,3.2795803707801454,47,-8.809336199562498,1.2904241963119003,0.05277283198282628,0.9751855501932457,114,2024-06-26 01:57:22.156050,4,6,108,30
E49,9.201993530067927,0.3274872436724223,3.218379217033863,48,-8.885055470892697,1.2675844436219712,0.0456506677665539,0.9804034476001598,114,2024-06-26 01:57:22.156050,4,6,108,30
E50,9.31715002299636,0.2952386087720633,3.305799883211297,49,-9.003784439758673,1.1862225202945582,0.04449131916590969,0.9785148042547814,114,2024-06-26 01:57:22.156050,4,6,108,30
E51,9.027774546631106,0.3517149896385856,2.852237535850122,50,-8.990094077242405,1.2658741703230905,0.025777822234898533,0.9932459185046293,114,2024-06-26 01:57:22.156050,4,6,108,30
E51,12.334112917268643,0.2627040829848184,4.705807803946463,50,-8.990094077242405,1.2658741703230905,0.025777822234898533,0.9932459185046293,114,2024-06-26 01:57:22.156050,4,6,108,30
E52,9.718912494669485,0.4255052209230481,4.103346390694207,51,-9.196701875310533,1.31195879708295,0.02639499174776245,0.9947287843459911,114,2024-06-26 01:57:22.156050,4,6,108,30
E52,13.718160759079076,0.2698626967624502,5.999999999999999,51,-9.196701875310533,1.31195879708295,0.02639499174776245,0.9947287843459911,114,2024-06-26 01:57:22.156050,4,6,108,30
E53,9.071376878083537,0.3157994320840949,3.5798188705469074,52,-9.737268514740297,1.213408682276968,0.026367475596065396,0.9942322597402548,114,2024-06-26 01:57:22.156050,4,6,108,30
E53,12.146327996696545,0.2938391178925386,5.265721096900477,52,-9.737268514740297,1.213408682276968,0.026367475596065396,0.9942322597402548,114,2024-06-26 01:57:22.156050,4,6,108,30
E54,9.219892329347681,0.3545589427397573,3.487290657554054,53,-8.413756596318809,1.3968569442830971,0.05309010371157358,0.9797044885691419,114,2024-06-26 01:57:22.156050,4,6,108,30
E55,9.222034961264862,0.3627635355029426,3.498206565957304,54,-8.492952655595419,1.3783039118545883,0.051731285783828775,0.9804590353792498,114,2024-06-26 01:57:22.156050,4,6,108,30
E56,9.37490231491509,0.34795454613331245,3.656651043074425,55,-8.603640114717184,1.3340279616088901,0.04686769962692238,0.9824207192116313,114,2024-06-26 01:57:22.156050,4,6,108,30
E57,9.573624587285911,0.333281527162649,3.9575304286005806,56,-8.693393885581395,1.3100072359333612,0.04133290857384245,0.9863513157403139,114,2024-06-26 01:57:22.156050,4,6,108,30
E58,10.247777921225145,0.32634557470498926,4.756990497795652,57,-8.658499771124392,1.3487256893303807,0.03724127052031057,0.9899134266751053,114,2024-06-26 01:57:22.156050,4,6,108,30
E59,9.229054708654374,0.43746230830566013,3.545459957640526,58,-8.780841138463405,1.3335644310025154,0.030913191609980614,0.9936497432083814,114,2024-06-26 01:57:22.156050,4,6,108,30
E59,13.205639036640967,0.3491740148100373,5.999999999999999,58,-8.780841138463405,1.3335644310025154,0.030913191609980614,0.9936497432083814,114,2024-06-26 01:57:22.156050,4,6,108,30
E60,9.608826465980671,0.46938270930599124,4.149812386208114,59,-9.180508748629226,1.2619881441441265,0.028315051347478006,0.9941663322858308,114,2024-06-26 01:57:22.156050,4,6,108,30
